Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2020,Norte-Orán,Mujeres,Sin especificar,12,78
2020,Norte-Tartagal,Mujeres,Sin especificar,12,302
2021,Sur-Anta,Mujeres,Sin especificar,12,10
2021,Centro,Mujeres,Sin especificar,12,569
2021,Sur-Metán,Mujeres,Sin especificar,12,71
2021,Norte-Orán,Mujeres,Sin especificar,12,87
2021,Norte-Tartagal,Mujeres,Sin especificar,12,158
2022,Sur-Anta,Mujeres,Sin especificar,12,20
2022,Centro,Mujeres,Sin especificar,12,382
2022,Sur-Metán,Mujeres,Sin especificar,12,80
2022,Norte-Orán,Mujeres,Sin especificar,12,137
2022,Norte-Tartagal,Mujeres,Sin especificar,12,123
2020,Centro,Varones,0-5 años,1,109
2020,Sur-Metán,Varones,0-5 años,1,26
2020,Norte-Orán,Varones,0-5 años,1,27
2020,Norte-Tartagal,Varones,0-5 años,1,77
2021,Sur-Anta,Varones,0-5 años,1,7
2021,Centro,Varones,0-5 años,1,516
2021,Sur-Metán,Varones,0-5 años,1,47
2021,Norte-Orán,Varones,0-5 años,1,42
2021,Norte-Tartagal,Varones,0-5 años,1,80
2022,Sur-Anta,Varones,0-5 años,1,16
2022,Centro,Varones,0-5 años,1,453
2022,Sur-Metán,Varones,0-5 años,1,36
2022,Norte-Orán,Varones,0-5 años,1,47
2022,Norte-Tartagal,Varones,0-5 años,1,92
2020,Centro,Varones,11-14 años,3,76
2020,Sur-Metán,Varones,11-14 años,3,23
2020,Norte-Orán,Varones,11-14 años,3,26
2020,Norte-Tartagal,Varones,11-14 años,3,56
2021,Sur-Anta,Varones,11-14 años,3,3
2021,Centro,Varones,11-14 años,3,364
2021,Sur-Metán,Varones,11-14 años,3,36
2021,Norte-Orán,Varones,11-14 años,3,30
2021,Norte-Tartagal,Varones,11-14 años,3,49
2022,Sur-Anta,Varones,11-14 años,3,11
2022,Centro,Varones,11-14 años,3,418
2022,Sur-Metán,Varones,11-14 años,3,28
2022,Norte-Orán,Varones,11-14 años,3,40
2022,Norte-Tartagal,Varones,11-14 años,3,57
2020,Centro,Varones,15-17 años,4,1050
2020,Sur-Metán,Varones,15-17 años,4,16
2020,Norte-Orán,Varones,15-17 años,4,11
2020,Norte-Tartagal,Varones,15-17 años,4,31
2021,Sur-Anta,Varones,15-17 años,4,3
2021,Centro,Varones,15-17 años,4,229
2021,Sur-Metán,Varones,15-17 años,4,31
2021,Norte-Orán,Varones,15-17 años,4,14
2021,Norte-Tartagal,Varones,15-17 años,4,29
2022,Sur-Anta,Varones,15-17 años,4,7
2022,Centro,Varones,15-17 años,4,200
2022,Sur-Metán,Varones,15-17 años,4,27
